name,neighbors,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,offspring,pets,religion,smokes,speaks,linear classifier
Tracey Ursulette,"{594: 0.41283852089194856, 951: 0.0, 928: 1.0, 772: 0.8499839826962639, 166: 0.0, 528: 0.2380558089004951, 330: 0.0, 471: 0.849493137667791, 850: 0.595829434341457, 831: 1.0, 916: 0.6289608839430825, 746: 1.0, 607: 0.7768786503534735, 427: 1.0, 417: 0.21758303202659596, 34: 0.44912775403670596, 29: 1.0, 61: 0.0, 130: 0.0, 200: 0.3915412939239408, 233: 0.34090131987414124, 234: 1.0, 315: 0.5178557237136565, 361: 1.0, 474: 0.04450096786108387, 562: 0.0, 839: 0.1053016904185951, 843: 0.07707670653630233, 890: 0.5433984195924682, 914: 0.05303933583712778}",33.0,single,m,straight,fit,,socially,,working on masters program,white,70.0,-1.0,entertainment / media,,likes dogs and likes cats,,sometimes,"english (fluently), c++ (fluently), german (poorly), french (poorly)",Linear Classifiers 1k/61.joblib
Constance Bartlett,"{188: 1.0, 486: 1.0, 731: 0.6359277782619401, 538: 0.225846301525496, 426: 0.82522773167342, 540: 0.5338447980142753, 569: 0.9929161503943464, 919: 0.08795772694049608, 651: 1.0, 639: 0.0, 267: 0.9107687222849477, 749: 0.30647404785122656, 292: 0.572829260007393, 350: 0.47105415902410747, 138: 0.5413423721550332, 155: 0.5418543663347133, 229: 0.0, 330: 0.7654416647840965, 483: 0.6664580684886587, 499: 0.8149029571120654, 612: 1.0, 875: 1.0, 877: 0.9654596511623472}",26.0,single,f,straight,average,,socially,never,working on college/university,hispanic / latin,64.0,-1.0,banking / financial / real estate,doesn't have kids,,,no,english,Linear Classifiers 1k/757.joblib
Gilligan Cleavland,"{985: 0.45609659422599524, 419: 1.0, 393: 0.6032394300719544, 749: 0.0, 899: 0.0, 23: 0.35616302016138174, 911: 0.1716315339540792, 30: 0.7468173667963887, 78: 0.4591736403551894, 186: 0.5164912649748441, 255: 0.0, 263: 0.2605073362687633, 357: 0.22341561716784702, 389: 0.0, 561: 0.7444001131872524, 575: 0.0, 684: 0.20511573609281725, 700: 0.6930154026785686, 708: 0.14970754635368505, 826: 1.0, 961: 0.8724199787346453}",31.0,single,m,straight,average,mostly vegetarian,rarely,never,graduated from space camp,white,71.0,-1.0,medicine / health,,likes dogs and likes cats,christianity,no,english (fluently),Linear Classifiers 1k/928.joblib
Moyna Japeth,"{687: 0.4056506916616387, 528: 0.11281945460649823, 419: 1.0, 252: 1.0, 955: 0.01180312002675521, 962: 1.0, 549: 1.0, 662: 1.0, 128: 0.24923863038093863, 339: 0.5387459413554012, 170: 1.0, 388: 1.0, 913: 0.2549547183032237, 76: 0.0, 393: 0.9310831849156234, 972: 0.026193365536887114, 177: 0.0, 471: 0.2854250949952757, 877: 1.0, 13: 0.0, 67: 1.0, 131: 0.0, 229: 0.0, 561: 1.0, 632: 1.0, 641: 1.0, 642: 0.2873330548525459, 786: 0.08097646768159539, 835: 0.0, 872: 1.0, 966: 1.0, 977: 1.0, 991: 0.9046962067062578}",33.0,single,m,straight,athletic,mostly anything,socially,never,graduated from masters program,white,72.0,-1.0,science / tech / engineering,doesn't have kids,likes dogs and likes cats,catholicism but not too serious about it,no,english (fluently),Linear Classifiers 1k/937.joblib
Eve Joni,"{551: 1.0, 726: 1.0, 428: 0.3186956712220077, 823: 0.8724065836259065, 903: 1.0, 507: 0.12689108818453132, 945: 0.0, 25: 0.4598318412497626, 138: 0.13414234124545033, 152: 0.794044240668355, 244: 0.5244071333586389, 273: 0.0, 371: 0.0, 390: 1.0, 451: 0.4116732351375392, 592: 1.0, 619: 0.6267912025524502, 665: 0.5220579501340001, 707: 0.21558057740277992, 778: 1.0, 975: 0.6399494055865391, 979: 0.0, 996: 1.0}",27.0,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,67.0,-1.0,sales / marketing / biz dev,,likes dogs and dislikes cats,catholicism,no,english (fluently),Linear Classifiers 1k/218.joblib
Kristina Munn,"{522: 0.0, 338: 0.9734231808411984, 622: 0.3015654421344429, 958: 1.0, 454: 0.8730061020819946, 148: 1.0, 369: 0.7989690571670174, 613: 1.0, 324: 0.4822220236984194, 935: 1.0, 431: 1.0, 123: 1.0, 525: 0.16698197557636973, 91: 0.563795840411121, 124: 0.07541585580592702, 228: 0.3792072824685082, 256: 0.0, 269: 1.0, 278: 0.7407668237316347, 385: 0.0, 402: 0.0, 629: 0.0, 727: 0.0, 746: 1.0, 796: 0.5454609206960992}",22.0,single,f,straight,athletic,,socially,never,working on college/university,,67.0,-1.0,student,"doesn't have kids, but might want them",likes dogs and likes cats,catholicism and somewhat serious about it,no,"english (fluently), spanish (fluently), italian (okay)",Linear Classifiers 1k/108.joblib
Gisela Ellord,"{455: 0.0, 84: 1.0, 764: 0.0, 674: 0.1654549759032964, 882: 0.0, 233: 0.6809140720780125, 703: 1.0, 367: 0.0, 432: 0.0, 635: 0.05164881467755045, 503: 0.39913992979795054, 433: 0.0, 983: 1.0, 915: 0.2049646699426102, 297: 0.4493075576933432, 296: 0.8924317720987176, 540: 1.0, 605: 1.0, 680: 1.0, 783: 1.0, 797: 0.0, 821: 0.0, 827: 1.0, 997: 1.0}",30.0,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,white,69.0,-1.0,executive / management,"doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and somewhat serious about it,no,"english, spanish (poorly)",Linear Classifiers 1k/755.joblib
Darlleen Katrine,"{312: 0.7852993348598503, 610: 0.5730588444100295, 924: 0.8915331131305901, 224: 0.0, 96: 0.0, 305: 0.0, 167: 0.3903856729223545, 700: 0.7083807862604559, 936: 0.5372772813568538, 254: 1.0, 62: 0.7652325998161658, 906: 0.0, 916: 0.26788824558666846, 515: 1.0, 80: 0.5656596943664436, 545: 0.0, 355: 0.6693332290926737, 783: 0.0, 314: 1.0, 18: 0.8266462226704814, 30: 0.0, 85: 0.473950091752263, 115: 0.0, 272: 1.0, 407: 0.8211675741940105, 472: 0.5814878709525804, 513: 1.0, 588: 0.2789291155396505, 614: 0.2956144082244503, 706: 0.07282895935730771, 759: 0.03951547211877582, 923: 1.0, 981: 1.0, 994: 0.23965679937094286}",30.0,single,m,straight,thin,strictly vegan,not at all,never,graduated from college/university,white,71.0,-1.0,education / academia,,likes dogs and likes cats,atheism and laughing about it,no,english,Linear Classifiers 1k/508.joblib
Clementine Ephrem,"{33: 0.037915810707474185, 124: 1.0, 901: 0.0, 948: 0.7899999999985903, 501: 1.0, 852: 0.7064421293843337, 4: 0.8500884470235606, 12: 1.0, 35: 0.7521799163881617, 170: 0.0, 343: 0.0, 402: 0.9850635009391626, 412: 0.0, 433: 1.0, 642: 0.2626444394332459, 644: 0.0, 663: 0.9057250816129943, 784: 0.0, 826: 0.31275202354303744, 838: 0.0, 963: 0.5267460617385924}",33.0,single,m,straight,thin,strictly anything,socially,sometimes,graduated from college/university,white,73.0,-1.0,artistic / musical / writer,,likes cats,other,sometimes,english,Linear Classifiers 1k/570.joblib
Natka Ehrman,"{915: 0.7648126863644062, 535: 0.0, 416: 0.4415878144652332, 967: 0.6845933721944171, 162: 1.0, 219: 0.5102730716344013, 370: 0.0, 482: 0.5829205480665234, 287: 0.13490223658170386, 20: 1.0, 762: 0.0, 449: 0.0, 450: 0.0, 176: 0.6493827962627385, 338: 0.35864567989106355, 67: 0.0, 78: 0.21063243969184242, 369: 0.12172220588109894, 383: 0.0, 493: 0.0, 547: 0.6836155330349492, 586: 0.6923245950272179, 599: 0.6205482934444166, 623: 0.8191208006151971, 687: 1.0, 783: 1.0, 875: 0.5845242488999958}",28.0,single,m,straight,fit,anything,rarely,never,graduated from college/university,"asian, white",70.0,-1.0,medicine / health,"doesn't have kids, but wants them",has dogs,,no,english,Linear Classifiers 1k/888.joblib
Wanda Miru,"{619: 0.10986741563296398, 815: 0.0, 421: 0.0, 457: 0.18287656329231528, 546: 1.0, 710: 0.1619528253578073, 428: 0.7675799422133665, 861: 0.0, 199: 1.0, 728: 0.0, 944: 1.0, 853: 0.37255068967510674, 81: 0.8461782964840863, 163: 0.08015975559287547, 200: 0.0, 270: 0.05639445392599196, 601: 0.0, 657: 0.39944505377881345, 762: 0.48718348870764494, 780: 1.0, 792: 0.8529926793981977, 805: 0.8131880715838777, 863: 0.6351675188120707, 893: 1.0}",22.0,single,m,straight,fit,mostly anything,socially,never,working on college/university,"pacific islander, white",72.0,-1.0,clerical / administrative,,likes dogs and dislikes cats,catholicism and laughing about it,trying to quit,"english (fluently), tagalog (fluently), japanese (okay)",Linear Classifiers 1k/575.joblib
Libbie Remmer,"{814: 0.0, 698: 1.0, 5: 0.0, 715: 0.0, 607: 0.0, 93: 0.0, 472: 0.0, 109: 0.0, 572: 0.0, 257: 1.0, 625: 0.0, 106: 0.2140496755183836, 394: 0.0, 592: 0.12130656529295436, 597: 0.0, 602: 1.0, 508: 1.0, 197: 0.9678064951444476, 320: 1.0, 53: 0.45100179163010257, 471: 0.0, 102: 0.0, 242: 0.0, 290: 0.04319553957472788, 334: 0.0, 351: 0.0, 514: 0.45933159048416616, 563: 1.0, 675: 0.19426029906781483, 709: 0.0, 714: 0.5315515411164284, 727: 0.9572064050385771, 905: 0.6822307025068968, 933: 1.0}",22.0,single,m,straight,average,anything,socially,never,,asian,67.0,-1.0,other,,has dogs and dislikes cats,agnosticism and laughing about it,no,"english (fluently), other (fluently), thai (poorly)",Linear Classifiers 1k/731.joblib
Cherrita Ephrem,"{773: 0.8896774668330805, 565: 0.9703976397321208, 725: 0.9734926143366343, 164: 0.0, 363: 0.3410745216239226, 662: 0.3550385539383978, 404: 1.0, 271: 1.0, 837: 1.0, 797: 0.48382367386743397, 99: 0.4887418355354294, 953: 1.0, 337: 1.0, 256: 0.42362333815434905, 248: 0.7733674696137021, 553: 0.0, 204: 0.6417786947346844, 328: 1.0, 223: 0.38510424202693105, 671: 0.7785989904284216, 30: 0.0, 79: 0.3730473300507784, 218: 0.891174612363999, 229: 0.43191114231288097, 294: 1.0, 360: 1.0, 383: 0.5653564519303815, 499: 0.8360068172148241}",30.0,single,m,straight,fit,,socially,,graduated from masters program,,74.0,-1.0,,,likes dogs and likes cats,atheism and laughing about it,no,"english, spanish (poorly)",Linear Classifiers 1k/313.joblib
Winny Odell,"{216: 0.0, 1001: 1.0, 410: 0.0, 822: 0.0, 893: 0.21442132284754445, 32: 0.0, 480: 0.45058006751924884, 16: 0.6669714659969213, 42: 0.21859976084669475, 382: 0.9024528632284392, 525: 0.0, 614: 0.0, 745: 0.13373536331951819, 883: 0.0, 886: 0.3754268679480339}",32.0,single,m,straight,fit,,socially,sometimes,graduated from college/university,white,68.0,-1.0,other,,,agnosticism and laughing about it,no,english,Linear Classifiers 1k/732.joblib
Zsa Zsa Hathaway,"{690: 0.6766491163543482, 731: 0.5125663196274279, 614: 0.12965967342134732, 23: 1.0, 18: 0.0, 628: 0.2274281837642691, 900: 1.0, 307: 0.7426263241402338, 279: 1.0, 539: 1.0, 28: 0.16748193541842216, 865: 1.0, 567: 0.5376304747429073, 962: 0.5243183626020409, 185: 0.0, 516: 0.6545566994431797, 224: 1.0, 612: 1.0, 114: 0.17007272581318733, 205: 0.6125966360114534, 208: 0.7272616616789978, 548: 0.8561741595264558, 789: 0.0, 801: 1.0}",27.0,single,f,straight,average,anything,socially,,working on college/university,white,64.0,-1.0,other,,,agnosticism,trying to quit,"english, spanish (poorly)",Linear Classifiers 1k/316.joblib
Jaime Croix,"{630: 0.27953405613825666, 78: 0.0, 94: 0.28109457823874884, 113: 0.4657384878969957, 122: 0.40565316604914514, 323: 0.7126784489224658, 327: 0.0, 469: 0.7948817696804209, 532: 0.0, 542: 0.7119991491396451, 669: 0.5799983756536804, 801: 0.5175771598845742, 816: 0.32547149230719796, 848: 1.0, 875: 0.0, 876: 0.4055906565698475}",27.0,single,m,straight,athletic,anything,socially,never,graduated from college/university,,72.0,-1.0,science / tech / engineering,"doesn't have kids, but wants them",likes dogs,atheism,no,english,Linear Classifiers 1k/448.joblib
Ekaterina Amasa,"{626: 1.0, 471: 0.6543011571340518, 391: 0.21265902047356366, 753: 1.0, 731: 0.6998134606247497, 599: 0.0, 342: 0.0, 191: 0.0, 247: 0.13477806256543268, 213: 0.0, 84: 0.537264880794428, 323: 0.5873945565038925, 582: 1.0, 399: 0.5725413549481626, 656: 1.0, 604: 0.5204061210766255, 698: 0.42040246153470395, 171: 0.0, 575: 0.6435838649036789, 853: 0.5016676738738126, 537: 0.0, 41: 0.0884674702225432, 228: 0.649067500651503, 29: 0.7531496803216138, 50: 0.9349870135205816, 362: 0.0, 474: 0.815426085359789, 549: 0.8308262619934483, 570: 0.0, 591: 0.9032193897551757, 644: 1.0, 735: 0.0, 798: 0.9789317117933605}",38.0,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,67.0,-1.0,computer / hardware / software,doesn't have kids,,christianity,no,english,Linear Classifiers 1k/478.joblib
Clementine Pyle,"{359: 0.0, 329: 0.6043978880962921, 724: 0.0, 642: 0.0, 536: 1.0, 117: 1.0, 537: 0.0, 803: 1.0, 605: 1.0, 853: 1.0, 979: 1.0, 795: 0.916427998192674, 360: 0.0, 603: 0.0, 45: 1.0, 376: 1.0, 950: 0.151569968370727, 348: 1.0, 24: 1.0, 102: 0.0, 212: 1.0, 282: 0.04501181150140221, 497: 0.8896150843628545, 560: 0.6689255648746055, 592: 1.0, 779: 1.0, 833: 1.0, 884: 1.0, 995: 0.24747898380076405}",20.0,single,f,straight,average,mostly vegetarian,socially,never,working on college/university,,60.0,-1.0,hospitality / travel,doesn't want kids,has dogs and likes cats,,no,"english (fluently), spanish (fluently)",Linear Classifiers 1k/122.joblib
Ashlee Baptlsta,"{615: 0.17163483903845655, 471: 0.0, 455: 1.0, 79: 0.2170543042028732, 934: 0.0, 422: 0.7494931785869614, 912: 1.0, 184: 0.6756609636577582, 996: 0.0, 797: 1.0, 708: 0.0, 148: 0.0, 472: 0.0, 129: 0.1906193425743199, 766: 0.3786759715016754, 676: 0.04695944193286561, 348: 0.5758601669776504, 723: 1.0, 476: 0.0, 149: 0.33566979959961296, 556: 0.44283994394139325, 16: 0.42933879464931035, 99: 1.0, 103: 0.0, 151: 0.588273742313095, 356: 0.0, 395: 0.8272157566550127, 518: 0.0, 575: 0.2632440829870921, 597: 0.0, 625: 0.34700587029492835, 671: 0.7124310877524436, 869: 0.5751931729740272, 945: 0.0}",27.0,single,m,straight,thin,strictly anything,socially,never,graduated from college/university,white,69.0,-1.0,entertainment / media,,likes dogs and likes cats,atheism and somewhat serious about it,when drinking,english,Linear Classifiers 1k/230.joblib
Farrah Pelagias,"{859: 0.0, 329: 0.6750000933914864, 742: 1.0, 596: 0.5085536590906927, 440: 0.26072469520299313, 954: 0.0, 468: 0.0, 914: 0.4475392163938898, 674: 0.11341121297912471, 24: 0.7796594909578403, 342: 0.5781936544732251, 348: 0.0, 84: 0.48125250002364384, 98: 0.2267399735613873, 396: 0.5040391213604418, 453: 0.5990042098450292, 469: 0.0, 700: 0.08330494888750906, 757: 0.7203282932961019}",26.0,single,m,straight,athletic,,,never,,white,69.0,-1.0,banking / financial / real estate,,,,,"english, russian",Linear Classifiers 1k/150.joblib
Nataline Blase,"{949: 1.0, 250: 1.0, 346: 1.0, 449: 0.30125797858313863, 509: 0.3947487224448505, 790: 0.12779813484258895, 367: 0.04032829669452909, 214: 0.0, 695: 1.0, 71: 0.0, 628: 0.0, 939: 1.0, 828: 0.0, 169: 0.4480649035678157, 265: 1.0, 450: 0.35228346920641496, 329: 0.569113003114226, 50: 0.0, 490: 1.0, 894: 0.0, 280: 0.5808463669550852, 471: 0.0, 82: 1.0, 173: 0.5795156912781838, 216: 1.0, 281: 0.0, 408: 0.0, 910: 0.6991005871350184, 959: 0.0, 966: 0.11558070922450359, 981: 0.4533258709106569, 1001: 1.0}",32.0,single,m,straight,athletic,mostly anything,socially,never,graduated from college/university,white,69.0,-1.0,science / tech / engineering,"doesn't have kids, but wants them",likes dogs and dislikes cats,buddhism but not too serious about it,when drinking,"english (fluently), spanish (fluently)",Linear Classifiers 1k/327.joblib
