name,neighbors,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,offspring,pets,religion,smokes,speaks,linear classifier
Marnia Truc,"{238: 1.0, 179: 0.9482003984765539, 103: 0.4186159410689889, 721: 1.0, 340: 0.6610897349243747, 481: 0.0, 545: 0.2718676174973811, 369: 1.0, 192: 0.9183771565684065, 681: 0.881368003583731, 808: 0.5265485240835321, 141: 0.0925080820701325, 678: 0.8416752277502888, 24: 1.0, 35: 0.0, 81: 0.6646265552511181, 94: 0.6448864914643573, 111: 0.6839401901808646, 129: 0.7173995529883452, 223: 1.0, 250: 0.17022324148253265, 338: 0.9787108804930491, 379: 0.6893497312583072, 390: 0.23202959886143093, 503: 0.8779232627317124, 527: 0.9156678824077102, 536: 1.0, 650: 0.5340760202134853, 719: 0.4177457794458044, 722: 0.2657848873736657, 791: 0.0121265491261493, 980: 0.47543667658331445}",35,available,m,straight,average,mostly anything,socially,,,white,70.0,-1,,,,,yes,english,Linear Classifiers/176.joblib
Ethel Ethban,"{786: 0.8256868261876331, 313: 0.20449233675945244, 669: 0.369134480242133, 9: 0.26397196054749017, 316: 0.10419764978532875, 351: 1.0, 497: 1.0, 519: 1.0, 562: 0.7326341716630385, 615: 0.0, 642: 0.0, 678: 0.04754099179207927, 694: 1.0, 732: 1.0, 784: 1.0, 807: 1.0}",28,seeing someone,m,straight,average,mostly anything,socially,never,graduated from college/university,white,72.0,40000,banking / financial / real estate,,likes cats,christianity and very serious about it,no,"english (fluently), sign language (poorly)",Linear Classifiers/956.joblib
Gwyneth Halla,"{166: 0.07151405700014557, 656: 0.0, 914: 0.455712755968511, 317: 0.832236693002975, 966: 1.0, 989: 0.4725292130133525, 45: 0.08768268026164527, 113: 1.0, 136: 1.0, 257: 0.11539957144060864, 282: 0.11419921479458495, 516: 1.0, 734: 0.11309849809081918, 760: 1.0, 945: 0.0}",24,single,m,straight,,,often,,,white,72.0,-1,entertainment / media,doesn't have kids,,other,,english,Linear Classifiers/87.joblib
Valeda Beniamino,"{715: 0.2869299043230198, 61: 0.1953105242993054, 642: 0.4664160763226457, 802: 0.10160756477154997, 112: 0.6525185382993448, 676: 0.7286417948171722, 834: 0.7399546226684532, 695: 0.0, 825: 0.8882239159802912, 398: 0.0, 930: 0.0, 389: 0.009103532283358362, 117: 0.0, 130: 1.0, 234: 0.302868141028227, 241: 0.12675318010128667, 315: 0.0, 373: 0.0, 401: 1.0, 438: 0.5224200154648, 483: 0.11854350154106008, 603: 0.2804378897578528, 608: 0.7024940698703874, 624: 1.0, 645: 0.0, 726: 0.524817600768924, 758: 0.1637999446051963, 772: 1.0, 798: 0.7553192035241691, 886: 1.0, 890: 0.0, 938: 0.0}",30,single,f,straight,skinny,mostly anything,socially,never,graduated from high school,white,66.0,30000,sales / marketing / biz dev,,has dogs and likes cats,christianity but not too serious about it,no,english,Linear Classifiers/754.joblib
Reeba Weaks,"{691: 0.5369790702226167, 720: 0.0, 537: 0.12385090412863597, 385: 0.0, 157: 0.16959327637859078, 667: 0.0, 200: 0.6175277498726159, 817: 0.8727636178288714, 895: 1.0, 995: 0.5957773685434296, 981: 1.0, 637: 0.0, 450: 0.5896550302521242, 865: 0.38277483118620115, 319: 0.0, 534: 0.4382652045316675, 253: 0.0, 8: 0.5993521846576446, 259: 0.0, 831: 0.0, 273: 0.0, 40: 0.0, 50: 0.0, 75: 1.0, 172: 0.0, 177: 0.0, 276: 0.7827875793463179, 434: 0.0, 591: 0.0, 657: 0.0, 716: 0.0, 785: 0.0, 902: 0.4780624450046369, 912: 0.09100277513296628, 939: 1.0}",29,single,f,straight,thin,mostly anything,socially,never,working on college/university,"hispanic / latin, white",62.0,50000,other,"doesn't have kids, but wants them",likes dogs and has cats,catholicism,no,english,Linear Classifiers/138.joblib
Cristine Abernon,"{67: 1.0, 967: 0.44816050140835806, 621: 0.6020147056988456, 752: 0.7238303362489606, 594: 0.5145445311687604, 720: 0.1431832441896983, 3: 1.0, 510: 0.4286277341544604, 505: 0.4559917501599111, 125: 1.0, 127: 0.9256151135652946, 217: 1.0, 376: 0.36793981017409294, 455: 1.0, 513: 1.0, 633: 0.14496998634445024, 813: 0.0}",39,single,f,straight,fit,strictly anything,socially,,graduated from college/university,white,65.0,-1,medicine / health,doesn't have kids,likes dogs and has cats,atheism and laughing about it,no,"english (fluently), spanish (okay)",Linear Classifiers/615.joblib
Tracey Ursulette,"{634: 1.0, 448: 0.18558955218502732, 783: 0.23502603585867787, 5: 0.8231005123616952, 103: 0.7463477027843468, 168: 1.0, 510: 0.5297346841056956, 693: 0.24703915565968176, 716: 0.0, 720: 1.0, 852: 0.08556794058117817, 919: 0.4841695820228714, 959: 1.0, 973: 0.01755286005932921}",33,single,m,straight,fit,,socially,,working on masters program,white,70.0,-1,entertainment / media,,likes dogs and likes cats,,sometimes,"english (fluently), c++ (fluently), german (poorly), french (poorly)",Linear Classifiers/97.joblib
Constance Bartlett,"{778: 0.5372388693446473, 23: 0.587608197694264, 38: 0.0, 57: 0.2673041845043338, 147: 0.0, 148: 1.0, 156: 0.09714185823991706, 163: 0.016538529115390332, 175: 0.37016345863198685, 257: 0.006758271226521284, 384: 0.9397663332584749, 670: 0.5818300875745828, 704: 1.0, 767: 0.18648652288392054, 865: 0.22705816562461845, 915: 0.2524459695559642, 924: 0.630190774995905, 940: 0.7294015908649505, 963: 0.43366827849946477}",26,single,f,straight,average,,socially,never,working on college/university,hispanic / latin,64.0,-1,banking / financial / real estate,doesn't have kids,,,no,english,Linear Classifiers/853.joblib
Gilligan Cleavland,"{185: 0.0, 704: 0.0, 377: 0.0, 751: 0.0, 119: 0.29157791169614544, 151: 0.8529714983363901, 439: 1.0, 302: 0.5838867853461318, 532: 1.0, 649: 0.14957566188618365, 133: 0.7200863107010727, 70: 0.9807220112347874, 127: 1.0, 164: 0.4192287218629227, 343: 0.13417022678825274, 437: 1.0, 445: 1.0, 519: 0.4719175914151883, 925: 0.9287220188078029}",31,single,m,straight,average,mostly vegetarian,rarely,never,graduated from space camp,white,71.0,-1,medicine / health,,likes dogs and likes cats,christianity,no,english (fluently),Linear Classifiers/221.joblib
Moyna Japeth,"{392: 0.34017289156235475, 70: 0.14939461540053944, 77: 0.9099999999973107, 437: 0.7106078289844278, 627: 0.14781526390071642, 665: 0.7270783485204237, 681: 1.0, 694: 0.0624012349160461, 727: 0.0073855164254830186, 804: 1.0, 947: 0.1391496608120506}",33,single,m,straight,athletic,mostly anything,socially,never,graduated from masters program,white,72.0,-1,science / tech / engineering,doesn't have kids,likes dogs and likes cats,catholicism but not too serious about it,no,english (fluently),Linear Classifiers/99.joblib
Eve Joni,"{289: 0.0, 675: 0.5914193796180687, 79: 0.0, 493: 1.0, 582: 0.0, 137: 0.0, 944: 0.0, 714: 0.0, 613: 0.0, 825: 1.0, 559: 0.0, 808: 0.5339773953877236, 426: 1.0, 905: 0.9429325003857976, 192: 0.0, 220: 0.0, 237: 0.5800686814192231, 271: 0.0, 342: 1.0, 352: 0.7065033345690654, 385: 1.0, 391: 1.0, 508: 1.0, 539: 1.0, 721: 0.11486550394528283, 851: 0.47042577004215236, 973: 1.0}",27,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,67.0,-1,sales / marketing / biz dev,,likes dogs and dislikes cats,catholicism,no,english (fluently),Linear Classifiers/852.joblib
Kristina Munn,"{722: 0.42927921541723246, 108: 1.0, 255: 0.12171094959797735, 143: 0.0, 43: 0.0, 7: 1.0, 124: 1.0, 155: 0.6442368932744131, 184: 0.2510404549088867, 222: 0.2722674678760928, 334: 0.8571805309693317, 547: 0.0, 735: 0.5284160263610092, 967: 0.2781615985392416, 982: 0.0}",22,single,f,straight,athletic,,socially,never,working on college/university,,67.0,-1,student,"doesn't have kids, but might want them",likes dogs and likes cats,catholicism and somewhat serious about it,no,"english (fluently), spanish (fluently), italian (okay)",Linear Classifiers/639.joblib
Gisela Ellord,"{641: 0.5732513313500096, 107: 1.0, 872: 0.27989654578251155, 546: 0.25471045002443304, 357: 0.0, 451: 0.3166680179839183, 703: 0.0, 557: 0.8005051715751659, 887: 0.6442339478877646, 169: 0.7608937013674506, 435: 0.5903437004179981, 353: 0.7783065906824387, 320: 0.027196723159761405, 54: 0.2669184237758291, 163: 1.0, 260: 1.0, 371: 0.7044624934423194, 388: 0.0, 410: 0.0, 414: 0.13090790862967694, 653: 0.35773439081833125, 878: 1.0, 968: 0.4134535354148312, 982: 0.0}",30,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,white,69.0,-1,executive / management,"doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and somewhat serious about it,no,"english, spanish (poorly)",Linear Classifiers/517.joblib
Darlleen Katrine,"{591: 0.20365021053284282, 700: 1.0, 69: 0.9768343476576251, 447: 0.1514684128488919, 202: 0.8406258875189354, 898: 0.17765123169667962, 836: 0.5281654945481624, 462: 1.0, 979: 0.5818425487446763, 17: 0.22863059432453348, 99: 1.0, 370: 0.2581747066257778, 410: 0.3882297567450399, 464: 0.5858984555582962, 525: 0.0, 537: 1.0, 758: 1.0, 891: 0.03581792615772139, 939: 0.9346160321314847, 941: 0.7761701292392185, 962: 0.6383345468995243}",30,single,m,straight,thin,strictly vegan,not at all,never,graduated from college/university,white,71.0,-1,education / academia,,likes dogs and likes cats,atheism and laughing about it,no,english,Linear Classifiers/403.joblib
Clementine Ephrem,"{922: 1.0, 26: 1.0, 114: 0.0, 615: 0.0, 867: 0.0, 643: 1.0, 423: 0.8117495272617854, 846: 0.8296265000108767, 815: 0.9567977836430399, 161: 0.0, 183: 1.0, 222: 1.0, 251: 1.0, 919: 1.0, 6: 0.0, 130: 1.0, 553: 1.0, 8: 1.0, 576: 1.0, 91: 1.0, 916: 0.32744714522404217, 10: 1.0, 725: 0.0, 53: 0.16909898195012318, 68: 1.0, 281: 0.0, 383: 1.0, 408: 0.20904737575862886, 517: 1.0, 571: 1.0, 604: 0.0, 670: 1.0, 752: 1.0, 788: 1.0, 866: 0.878855527309151, 963: 1.0}",33,single,m,straight,thin,strictly anything,socially,sometimes,graduated from college/university,white,73.0,-1,artistic / musical / writer,,likes cats,other,sometimes,english,Linear Classifiers/801.joblib
Natka Ehrman,"{601: 0.0, 337: 0.7666030487042335, 147: 1.0, 190: 1.0, 286: 0.26715525724764255, 451: 0.0, 484: 0.3275621732422116, 516: 0.0, 522: 0.0, 585: 0.3166897767279879, 648: 0.5653656665356275, 761: 0.4761735042714248, 947: 0.15166551693974029}",28,single,m,straight,fit,anything,rarely,never,graduated from college/university,"asian, white",70.0,-1,medicine / health,"doesn't have kids, but wants them",has dogs,,no,english,Linear Classifiers/128.joblib
Wanda Miru,"{203: 0.0, 729: 0.0, 898: 0.0, 407: 0.0, 719: 1.0, 744: 0.0, 501: 0.06891558019437927, 345: 1.0, 28: 1.0, 563: 0.6411289701190848, 784: 1.0, 167: 0.0, 683: 1.0, 135: 1.0, 565: 0.49007258362703165, 864: 0.0, 172: 1.0, 250: 1.0, 9: 0.0, 24: 0.40847372630168, 90: 0.9405345869200872, 116: 0.6823157673292588, 152: 1.0, 197: 1.0, 234: 0.0, 266: 0.5237481595787461, 289: 0.0, 312: 1.0, 467: 0.0, 477: 0.29182251500942336, 705: 0.8118326108130889, 707: 0.012888430666477824, 725: 0.0, 768: 1.0, 791: 1.0, 802: 0.11153885980831113, 832: 0.951770986706018, 862: 1.0, 876: 0.2687632148909236, 923: 0.8909205433936824, 971: 0.2482961230697791, 973: 1.0}",22,single,m,straight,fit,mostly anything,socially,never,working on college/university,"pacific islander, white",72.0,-1,clerical / administrative,,likes dogs and dislikes cats,catholicism and laughing about it,trying to quit,"english (fluently), tagalog (fluently), japanese (okay)",Linear Classifiers/290.joblib
Libbie Remmer,"{28: 0.7780551191832401, 455: 0.0, 959: 1.0, 503: 0.12604419452434978, 628: 0.1794235306837917, 441: 0.0, 72: 0.0, 334: 0.2021701627332675, 414: 0.8813270772221924, 42: 0.6905907312659645, 299: 0.5646185300233522, 413: 0.45771277556178913, 79: 0.2776846592528859, 98: 0.11357193697796708, 327: 0.11862563588462582, 368: 0.0, 463: 0.0, 465: 0.7348517031039526, 590: 0.5222200469169339, 639: 0.0, 651: 0.0, 726: 0.7090621453667804, 924: 0.523192383305991, 980: 0.016977859533832795}",22,single,m,straight,average,anything,socially,never,,asian,67.0,-1,other,,has dogs and dislikes cats,agnosticism and laughing about it,no,"english (fluently), other (fluently), thai (poorly)",Linear Classifiers/158.joblib
Cherrita Ephrem,"{462: 0.0, 544: 0.0, 875: 0.9915515482977639, 109: 0.4758600329040008, 760: 0.0, 26: 0.12904016009667352, 27: 0.0, 149: 0.7008994725394162, 168: 0.0, 191: 0.4102304666895753, 228: 0.0, 242: 0.35443666316405453, 257: 0.9629889038528403, 327: 0.0, 386: 0.0, 396: 0.7397207197563378, 414: 0.06567358886960362, 443: 0.5918840131279941, 579: 1.0, 778: 0.7452698564275857, 796: 0.11261600833744234, 803: 0.0, 842: 0.2228198212368917}",30,single,m,straight,fit,,socially,,graduated from masters program,,74.0,-1,,,likes dogs and likes cats,atheism and laughing about it,no,"english, spanish (poorly)",Linear Classifiers/191.joblib
Winny Odell,"{982: 0.22392514794328156, 379: 0.0, 3: 0.0021962786017220015, 6: 0.736957231977752, 34: 0.05112535162278875, 146: 0.0, 163: 0.6995099334263202, 405: 0.59105820480453, 478: 0.0, 500: 1.0, 522: 0.18774507459441403, 658: 0.0, 831: 0.0, 892: 0.0, 997: 0.6372500572162528}",32,single,m,straight,fit,,socially,sometimes,graduated from college/university,white,68.0,-1,other,,,agnosticism and laughing about it,no,english,Linear Classifiers/341.joblib
Zsa Zsa Hathaway,"{877: 0.0, 952: 0.5442940185596035, 956: 0.4475217925502424, 785: 0.0, 878: 1.0, 851: 1.0, 93: 0.0, 213: 0.0, 275: 1.0, 339: 1.0, 355: 0.0, 388: 0.0, 423: 0.0, 428: 0.3489551056303881, 440: 0.0, 501: 1.0, 720: 0.0, 867: 0.0, 1000: 0.5092387265671432}",27,single,f,straight,average,anything,socially,,working on college/university,white,64.0,-1,other,,,agnosticism,trying to quit,"english, spanish (poorly)",Linear Classifiers/398.joblib
Jaime Croix,"{423: 0.0, 988: 0.8151471895667237, 203: 0.0, 338: 0.6358076538011197, 684: 1.0, 722: 1.0, 151: 1.0, 213: 1.0, 451: 0.0, 730: 0.9517792801837759, 698: 0.17511228178947835, 6: 1.0, 254: 0.9579489875948628, 141: 1.0, 796: 0.0, 436: 1.0, 571: 1.0, 340: 0.9119042299381359, 35: 0.24822392815672956, 88: 0.10471634670034913, 171: 0.0, 233: 0.5755484074941339, 434: 0.17714836851755056, 453: 0.45341633974671947, 491: 0.0, 588: 0.9485606077001876, 613: 0.31935611286261967, 646: 0.5551087351589725, 649: 0.37966981450424786, 663: 1.0, 672: 0.2532494513876218, 711: 0.0, 834: 0.6330090200691316, 866: 0.20831432606371258, 915: 0.9483275031650988, 921: 0.3628822241690015, 945: 0.36110071164501534}",27,single,m,straight,athletic,anything,socially,never,graduated from college/university,,72.0,-1,science / tech / engineering,"doesn't have kids, but wants them",likes dogs,atheism,no,english,Linear Classifiers/410.joblib
Ekaterina Amasa,"{183: 0.0, 986: 0.5230572228523284, 7: 0.6378628570835551, 93: 0.9063714871482069, 125: 0.0, 126: 0.3330900307960116, 155: 0.0, 340: 0.0, 369: 0.22557234672623816, 374: 0.08891482100780868, 450: 0.0, 819: 0.0, 842: 0.0, 892: 0.8754099478680747}",38,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,67.0,-1,computer / hardware / software,doesn't have kids,,christianity,no,english,Linear Classifiers/572.joblib
Clementine Pyle,"{529: 0.3390631343534445, 85: 0.5801920612710647, 641: 0.0, 129: 0.3582903524815657, 930: 0.23445437955217785, 897: 0.0, 740: 0.0, 582: 0.9603783190480846, 970: 1.0, 100: 0.05004378449971614, 104: 1.0, 128: 0.8672075313417944, 449: 0.0, 531: 0.0, 317: 0.8779977250502193, 450: 0.6253693148106338, 969: 0.7019064301014672, 790: 1.0, 630: 0.0, 583: 0.0, 52: 0.0, 421: 0.03292140662046705, 551: 1.0, 347: 0.0, 7: 0.3822227269405569, 114: 0.03337043876942691, 234: 0.4655090065960976, 316: 0.30267262650091653, 490: 0.0, 546: 1.0, 737: 0.0, 751: 1.0, 791: 0.709967546623935, 961: 0.19264663281364292}",20,single,f,straight,average,mostly vegetarian,socially,never,working on college/university,,60.0,-1,hospitality / travel,doesn't want kids,has dogs and likes cats,,no,"english (fluently), spanish (fluently)",Linear Classifiers/776.joblib
Ashlee Baptlsta,"{364: 0.09140043821732413, 444: 0.45355569836317455, 29: 1.0, 258: 0.0, 296: 0.5327979346952585, 274: 1.0, 250: 0.4820910549639763, 942: 0.738681709149656, 953: 1.0, 557: 0.8588552018330442, 693: 0.6230700689300832, 616: 1.0, 262: 1.0, 227: 0.9671239585856298, 593: 0.7019421746871131, 37: 0.488464524091319, 986: 0.3785889272313976, 403: 1.0, 36: 0.8893358209381228, 102: 0.7295158792994907, 243: 0.0, 308: 0.8604502608966256, 447: 0.7348595978452177, 543: 0.7115751696071411, 569: 0.0, 703: 0.5538107012072597, 734: 0.8928774528514356, 843: 0.6852675951767835, 918: 0.6902960570963548}",27,single,m,straight,thin,strictly anything,socially,never,graduated from college/university,white,69.0,-1,entertainment / media,,likes dogs and likes cats,atheism and somewhat serious about it,when drinking,english,Linear Classifiers/806.joblib
Farrah Pelagias,"{361: 0.0, 369: 0.5437112935745247, 789: 1.0, 901: 1.0, 245: 1.0, 10: 1.0, 844: 1.0, 437: 1.0, 99: 1.0, 747: 0.5589783895815401, 743: 0.0, 522: 1.0, 31: 1.0, 782: 1.0, 118: 0.0, 807: 1.0, 224: 1.0, 205: 1.0, 203: 0.0, 129: 0.0, 484: 0.0, 509: 1.0, 675: 0.0, 684: 1.0, 787: 1.0, 794: 0.0}",26,single,m,straight,athletic,,,never,,white,69.0,-1,banking / financial / real estate,,,,,"english, russian",Linear Classifiers/251.joblib
Nataline Blase,"{75: 0.0, 127: 1.0, 70: 0.9432923256739443, 403: 0.3974410412832121, 644: 0.0, 374: 0.0, 514: 0.7819844336884492, 160: 1.0, 200: 1.0, 837: 0.7133771710796992, 158: 0.0, 994: 1.0, 267: 1.0, 414: 0.0, 421: 0.04917570375219693, 588: 0.6426150941322133, 471: 1.0, 34: 0.2756286675168207, 77: 0.7742993453476625, 124: 0.6176868644974487, 134: 0.7775774828224575, 222: 0.8412228316902395, 315: 0.4717934237923229, 361: 0.0, 388: 0.35070586221415123, 422: 0.8045850282239764, 477: 0.0, 532: 1.0, 540: 0.5344090229323086, 553: 0.045507143656005056, 707: 0.9261639057954527, 739: 1.0, 865: 0.46443792827940467, 871: 1.0}",32,single,m,straight,athletic,mostly anything,socially,never,graduated from college/university,white,69.0,-1,science / tech / engineering,"doesn't have kids, but wants them",likes dogs and dislikes cats,buddhism but not too serious about it,when drinking,"english (fluently), spanish (fluently)",Linear Classifiers/960.joblib
