name,neighbors,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,offspring,pets,religion,smokes,speaks,linear classifier
Cristine Abernon,"{189: 0.5624250917675007, 999: 0.9087258845080506, 511: 0, 127: 0.37558230531501335, 566: 0.521135077890706, 829: 0.2704739275125194, 364: 0.17025538480643654, 165: 0.6330696451677444, 642: 0.8158208509903246, 763: 1, 608: 0.6748679286852219, 862: 0.32796968036768726, 384: 0.21903948283746977, 831: 0, 243: 0, 728: 0.8213033984024682, 221: 1, 951: 0.6619042355679894, 32: 1, 306: 0.9969719734390423, 395: 0, 600: 1, 770: 0, 795: 0.39041084108824564, 807: 0, 885: 0.910163142356071, 944: 0.44948200629931234}",39,single,f,straight,fit,strictly anything,socially,,graduated from college/university,white,65.0,-1,medicine / health,doesn't have kids,likes dogs and has cats,atheism and laughing about it,no,"english (fluently), spanish (okay)",Linear Classifiers/622.joblib
Tracey Ursulette,"{320: 0, 944: 0, 93: 0, 560: 1, 955: 0.0816292963313856, 90: 1, 166: 0, 522: 0, 952: 1, 918: 0.46580312155782305, 845: 0.9143518871866307, 396: 0, 992: 1, 119: 1, 156: 0, 189: 0, 451: 0, 677: 0, 741: 1, 775: 0.5283662609871957, 69: 1, 459: 0.5293187604538434, 300: 0, 373: 0, 284: 1, 97: 1, 183: 0, 219: 1, 331: 0.39121026182045027, 350: 0, 354: 0, 377: 0.2739863773225752, 418: 0, 419: 1, 450: 0.48831601468717073, 453: 0.17752135218365994, 824: 0, 967: 0}",33,single,m,straight,fit,,socially,,working on masters program,white,70.0,-1,entertainment / media,,likes dogs and likes cats,,sometimes,"english (fluently), c++ (fluently), german (poorly), french (poorly)",Linear Classifiers/397.joblib
Constance Bartlett,"{919: 0, 417: 1, 628: 1, 261: 0, 202: 0, 13: 0.3918826759077394, 827: 0.3051394882211591, 167: 0, 682: 1, 639: 0.01978079967683488, 781: 0, 137: 0, 146: 1, 453: 0.9835971581864538, 545: 0.03416578704544282, 371: 1, 109: 0.4210145967745458, 783: 0, 751: 0, 966: 0.6291207106356262, 1: 1, 55: 0, 159: 1, 293: 1, 318: 1, 329: 1, 418: 0.27475875629076274, 450: 1, 529: 0, 626: 1, 633: 0.7138464095132804, 894: 1, 995: 1}",26,single,f,straight,average,,socially,never,working on college/university,hispanic / latin,64.0,-1,banking / financial / real estate,doesn't have kids,,,no,english,Linear Classifiers/920.joblib
Gilligan Cleavland,"{146: 1, 503: 0.6375435254215907, 818: 0.5762450335254021, 793: 0.9505877967772118, 336: 0, 519: 0.4773160270106631, 876: 1, 750: 0.30314620760560906, 56: 1, 304: 0, 667: 0.9128939984508362, 163: 1, 190: 0, 219: 0.352356087525318, 231: 0.07895731893443081, 375: 0.9321921530056025, 440: 1, 462: 1, 588: 0.1959605416316057, 590: 0.39378596039919067, 682: 1, 764: 0.32375070460324373, 781: 1, 795: 0.7592598064888083, 803: 0, 889: 0.280988145465658}",31,single,m,straight,average,mostly vegetarian,rarely,never,graduated from space camp,white,71.0,-1,medicine / health,,likes dogs and likes cats,christianity,no,english (fluently),Linear Classifiers/0.joblib
Moyna Japeth,"{363: 0.7989447097985602, 201: 0.5871388512675998, 981: 0.5223667873794632, 731: 0.8425532461288223, 179: 0.18464124902847623, 772: 0.8940828283538635, 10: 1, 49: 0, 62: 0.6252763308487342, 88: 0, 247: 0.07066311401770903, 459: 0, 509: 0, 668: 0, 719: 0.2290392797610443, 786: 0}",33,single,m,straight,athletic,mostly anything,socially,never,graduated from masters program,white,72.0,-1,science / tech / engineering,doesn't have kids,likes dogs and likes cats,catholicism but not too serious about it,no,english (fluently),Linear Classifiers/441.joblib
Eve Joni,"{347: 1, 973: 0, 262: 0.31931489348484465, 494: 0.9783104220694021, 938: 0.7216368936250763, 270: 0.5464010524858871, 936: 0.4299842914244616, 300: 1, 567: 0, 192: 0, 517: 0.18861796137419606, 319: 0, 292: 0.57986155961816, 159: 0, 441: 1, 452: 0, 202: 0.7781931387633758, 189: 1, 858: 0.34482666462871947, 152: 1, 333: 1, 459: 0.5577987950897363, 511: 0.6588591684201628, 513: 1, 534: 1, 542: 0.4889128595415917, 576: 0.8090710207295597, 581: 0.9908070640360958, 662: 0.02557312859484373, 666: 0, 732: 0.17187797899620705, 742: 0, 794: 1, 894: 0.7309041053485323, 937: 1, 940: 0.6522694992815081}",27,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,67.0,-1,sales / marketing / biz dev,,likes dogs and dislikes cats,catholicism,no,english (fluently),Linear Classifiers/768.joblib
Kristina Munn,"{213: 0.029042933809558136, 331: 0.7992595921084273, 699: 1, 26: 0.9446772501515479, 353: 0, 366: 0.5474147413480495, 618: 0.8853070013693962, 683: 1, 751: 1, 795: 0, 884: 1, 898: 0.4139672088471542, 966: 1, 971: 0.5901293061219111}",22,single,f,straight,athletic,,socially,never,working on college/university,,67.0,-1,student,"doesn't have kids, but might want them",likes dogs and likes cats,catholicism and somewhat serious about it,no,"english (fluently), spanish (fluently), italian (okay)",Linear Classifiers/414.joblib
Gisela Ellord,"{165: 0.8798102978005531, 93: 0.3708306544542861, 815: 1, 627: 0, 673: 0.5458113077140183, 129: 1, 98: 0.2952666286848, 242: 1, 527: 0, 480: 0.5134954637474101, 949: 0.5892547257736247, 325: 1, 349: 0, 468: 0.4768117506568412, 470: 1, 477: 0.21267562862663247, 638: 0.49348654810531656, 688: 0.3714022680952027, 746: 0.635121214574319, 788: 0.6186884199072438, 896: 1, 909: 0.811924709657637}",30,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,white,69.0,-1,executive / management,"doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and somewhat serious about it,no,"english, spanish (poorly)",Linear Classifiers/555.joblib
Darlleen Katrine,"{678: 1, 944: 0.9292227309655412, 939: 1, 192: 1, 274: 1, 112: 1, 116: 0.20331204117563217, 146: 1, 567: 1, 64: 1, 779: 0.890363274931004, 888: 0, 814: 1, 993: 1, 214: 1, 233: 0, 276: 0, 296: 0.9334388282325419, 318: 0, 325: 0.08015786705506445, 421: 0, 490: 0, 493: 1, 579: 0, 601: 0.963494513558266, 681: 0, 686: 1, 706: 1, 908: 1, 970: 1, 992: 0.43385539529412354}",30,single,m,straight,thin,strictly vegan,not at all,never,graduated from college/university,white,71.0,-1,education / academia,,likes dogs and likes cats,atheism and laughing about it,no,english,Linear Classifiers/865.joblib
Clementine Ephrem,"{221: 0, 112: 0.8603741364266506, 533: 0, 89: 1, 199: 0, 240: 0, 323: 0.9409506111126751, 439: 0, 538: 0.12274919380387495, 541: 0.5298457185050838, 561: 0.6751301628301123, 660: 0.27401581275387876, 689: 0, 743: 0, 750: 0.621942258520134, 776: 0, 867: 1, 902: 0.021100653759897448, 906: 0, 999: 0.6214568266795526}",33,single,m,straight,thin,strictly anything,socially,sometimes,graduated from college/university,white,73.0,-1,artistic / musical / writer,,likes cats,other,sometimes,english,Linear Classifiers/242.joblib
Natka Ehrman,"{983: 0, 230: 0.8014651652164035, 187: 1, 942: 1, 725: 0, 595: 1, 714: 1, 159: 0, 174: 1, 327: 1, 390: 1, 409: 0, 425: 0.06549793549955663, 521: 0.0484463872849199, 548: 1, 600: 0.6516798402046815, 685: 0.5379000540092989, 734: 0, 770: 0, 778: 0.8972636976934041, 873: 0, 905: 0.8764151285334885, 985: 0}",28,single,m,straight,fit,anything,rarely,never,graduated from college/university,"asian, white",70.0,-1,medicine / health,"doesn't have kids, but wants them",has dogs,,no,english,Linear Classifiers/848.joblib
Wanda Miru,"{667: 0.4231467869462746, 826: 1, 897: 1, 28: 0.04487687426936193, 773: 0.0227292087350498, 438: 1, 520: 0.8619457155473327, 609: 1, 122: 0.9451182937764191, 40: 0, 787: 1, 870: 0, 398: 0.773506377894758, 339: 0.8763324322493429, 722: 0, 896: 1, 987: 1, 21: 1, 324: 0.3598763297764874, 256: 0.6627049466669463, 6: 0.6255200890787269, 99: 1, 178: 1, 286: 0.48535155837317145, 338: 0.282519921404482, 466: 1, 526: 1, 596: 0.7092121254345363, 672: 1, 694: 0, 774: 0.5493286598651654, 976: 0.7229188535008548, 980: 0.7181991150918474}",22,single,m,straight,fit,mostly anything,socially,never,working on college/university,"pacific islander, white",72.0,-1,clerical / administrative,,likes dogs and dislikes cats,catholicism and laughing about it,trying to quit,"english (fluently), tagalog (fluently), japanese (okay)",Linear Classifiers/476.joblib
Libbie Remmer,"{845: 0.832179092149949, 6: 0.47303722070910315, 78: 1, 223: 0.5019945545338125, 566: 0.6883148167703723, 662: 0.4195034565811975, 773: 1, 887: 1, 927: 0.7871907785292613}",22,single,m,straight,average,anything,socially,never,,asian,67.0,-1,other,,has dogs and dislikes cats,agnosticism and laughing about it,no,"english (fluently), other (fluently), thai (poorly)",Linear Classifiers/853.joblib
Cherrita Ephrem,"{223: 0.0778003880952064, 610: 0, 417: 0.353393334005931, 728: 0.5673316307759552, 115: 1, 367: 0.5180463995005807, 75: 0, 529: 0.14255531126070653, 458: 0.040565431375506666, 671: 0.2837100369373007, 636: 0, 371: 0.6238903857906445, 26: 0.9203947584805541, 33: 0.3842134384504363, 159: 0.7523836341204112, 279: 1, 336: 0.46734131353848307, 343: 0, 350: 0.9020319865643869, 408: 0.1026207779235444, 528: 0.264111830015476, 790: 0.7400609450924104, 862: 0.834345553514823}",30,single,m,straight,fit,,socially,,graduated from masters program,,74.0,-1,,,likes dogs and likes cats,atheism and laughing about it,no,"english, spanish (poorly)",Linear Classifiers/617.joblib
Winny Odell,"{968: 0.9952310752544764, 78: 0.8003883278615511, 860: 0.3965418397873268, 770: 0.09637649368885493, 109: 0.7110496735754182, 67: 0.4767280647302554, 422: 0.2389949750977447, 95: 0, 736: 0.9006734690053118, 824: 0, 256: 0.9010966707167869, 818: 0.12445757116462675, 600: 0, 812: 0.13310414376603852, 766: 0.789792139701039, 952: 1, 477: 1, 498: 0.2912536300370756, 703: 1, 660: 0.1569912289625437, 684: 0.25843373280538673, 731: 0.36330486279957075, 62: 1, 68: 0, 150: 0, 211: 0.6724489476242983, 384: 0.3205510655179613, 402: 0.6114414134105282, 493: 0.6341697135344377, 562: 0, 570: 1, 670: 0.6351874291773445, 784: 0.4722971766678805, 842: 0.5010781062972183, 877: 0.42861301882207403, 898: 1, 959: 0}",32,single,m,straight,fit,,socially,sometimes,graduated from college/university,white,68.0,-1,other,,,agnosticism and laughing about it,no,english,Linear Classifiers/753.joblib
Zsa Zsa Hathaway,"{744: 0, 392: 0.07107387519808905, 120: 0.4602761127077657, 781: 0.21122428895457612, 387: 0, 59: 0.7611184975381899, 337: 0.006261458899389671, 369: 0.3332399610445318, 413: 0.40569325523948474, 428: 0.4881391765008516, 470: 0.05471669192560413, 521: 0.4183763834815881, 602: 0, 631: 1, 790: 0.4742984599499902}",27,single,f,straight,average,anything,socially,,working on college/university,white,64.0,-1,other,,,agnosticism,trying to quit,"english, spanish (poorly)",Linear Classifiers/357.joblib
Jaime Croix,"{558: 0.6144310736929204, 699: 0.14413934598923106, 197: 0.8074659258266594, 465: 0.2906208531097303, 405: 0.784836531858228, 925: 0.9873768618140528, 101: 0.6011762410766712, 122: 0, 373: 0, 440: 0.1732322330334719, 552: 0, 594: 0.7352952133909874, 744: 1, 782: 0.24387586901204195}",27,single,m,straight,athletic,anything,socially,never,graduated from college/university,,72.0,-1,science / tech / engineering,"doesn't have kids, but wants them",likes dogs,atheism,no,english,Linear Classifiers/971.joblib
Ekaterina Amasa,"{5: 0, 275: 0, 488: 1, 830: 0.2451279508836226, 15: 0.05164763075240408, 628: 0, 410: 0.7498292733390173, 365: 1, 33: 0, 471: 0, 113: 0.910000000000112, 729: 0.8853810088364611, 741: 1, 9: 0, 95: 0.8781745491248767, 175: 1, 186: 1, 212: 0.40723854538365956, 284: 0.36631658071796913, 325: 0.6983497887559995, 366: 0.5599707168135595, 396: 0.7676847634318484, 486: 0, 550: 0.9802720600672181, 684: 0.9210111369723446, 691: 0.4924328924834942, 704: 1, 866: 1, 940: 0.0678307798676272, 945: 0, 982: 0.1327309955002125, 984: 0}",38,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,67.0,-1,computer / hardware / software,doesn't have kids,,christianity,no,english,Linear Classifiers/811.joblib
Clementine Pyle,"{979: 0.9623138842786432, 56: 1, 514: 0, 28: 0.5549456856252242, 182: 0.8609041894709684, 5: 0.20493921935522508, 32: 1, 112: 0, 135: 0, 152: 0, 199: 0, 205: 0.08616695217122228, 288: 0.08246403850472284, 403: 0.46338167748697323, 414: 1, 424: 0, 447: 0, 521: 0.8751739037821071, 532: 0.7495855049986755, 577: 1, 596: 0.6072544362322176, 709: 0, 730: 1}",20,single,f,straight,average,mostly vegetarian,socially,never,working on college/university,,60.0,-1,hospitality / travel,doesn't want kids,has dogs and likes cats,,no,"english (fluently), spanish (fluently)",Linear Classifiers/461.joblib
Ashlee Baptlsta,"{456: 0, 942: 0, 364: 0.16865904876475124, 852: 0.6565518658344702, 139: 1, 825: 1, 828: 0, 357: 0.26241436642918314, 50: 0, 282: 0.9679814771355408, 164: 0.8273045748022421, 834: 0.3330578886138902, 208: 0.8276988347316054, 63: 0.5980986438692266, 276: 0.3109637135499832, 272: 0.24841010652573825, 634: 0, 87: 0.3498165604055061, 635: 0.8255344462843874, 55: 0, 237: 0.11708908283271002, 333: 0.7043010143552877, 444: 0.2972835402165179, 562: 0, 622: 0.5717556549852318, 672: 0.5923082782482467, 891: 0.8122032546611244, 912: 1}",27,single,m,straight,thin,strictly anything,socially,never,graduated from college/university,white,69.0,-1,entertainment / media,,likes dogs and likes cats,atheism and somewhat serious about it,when drinking,english,Linear Classifiers/77.joblib
Farrah Pelagias,"{235: 0.6983455875909713, 645: 0.7761013811371046, 383: 0.009343860683414085, 711: 0.887282616740616, 911: 0.7784996502491189, 586: 0.7810217368299343, 69: 0.839338442898812, 707: 0, 51: 0.7222573929106212, 75: 0, 93: 0, 99: 1, 106: 0, 214: 0.5152355093332297, 252: 0.8350896047335561, 319: 0.5916728990541943, 411: 0.13040512251478142, 514: 1, 545: 0.7752670713919918, 627: 0.6060539561294496, 727: 1, 837: 1, 895: 0.8856629502271718, 982: 0.7064350359839559}",26,single,m,straight,athletic,,,never,,white,69.0,-1,banking / financial / real estate,,,,,"english, russian",Linear Classifiers/617.joblib
Nataline Blase,"{372: 0.7635265327352965, 315: 0.03823782884817106, 242: 0, 839: 0, 260: 0, 56: 0.6009074087674353, 60: 1, 92: 0, 331: 0.4355396714501314, 344: 1, 410: 0.9509597700577679, 510: 1, 585: 0, 587: 0, 590: 1, 608: 1, 827: 0.7967893409709044}",32,single,m,straight,athletic,mostly anything,socially,never,graduated from college/university,white,69.0,-1,science / tech / engineering,"doesn't have kids, but wants them",likes dogs and dislikes cats,buddhism but not too serious about it,when drinking,"english (fluently), spanish (fluently)",Linear Classifiers/759.joblib
Loree Gillan,"{108: 1, 65: 0, 286: 1, 576: 0.6758173486159746, 40: 0, 121: 0, 147: 0, 185: 0.5943370488423407, 208: 0, 261: 1, 328: 0, 602: 0, 612: 0.5954059239303282, 629: 0.9831839171366279, 646: 1, 738: 1, 766: 0, 922: 0.5248936031833051, 988: 0.7415645745422998}",25,single,m,bisexual,fit,mostly anything,socially,,working on college/university,"hispanic / latin, white",69.0,-1,other,"doesn't have kids, but might want them",likes dogs and likes cats,,,"english (fluently), spanish (poorly)",Linear Classifiers/867.joblib
Leeanne Regan,"{350: 0.16736338789061467, 51: 1, 839: 1, 576: 0.44776058293148147, 282: 1, 582: 1, 61: 0.7982249735026414, 659: 1, 263: 1, 152: 0.22542677541270173, 199: 1, 142: 0.11788798744271123, 621: 0.6861299975352084, 125: 1, 386: 0, 475: 1, 771: 1, 799: 0, 54: 1, 133: 1, 206: 0, 319: 1, 332: 0, 403: 0.38258875257496605, 417: 1, 594: 1, 710: 1, 976: 1}",27,single,f,straight,curvy,,socially,,,,63.0,-1,entertainment / media,,,,,english,Linear Classifiers/549.joblib
Paulita Donell,"{550: 0.3954319956629604, 333: 0, 472: 1, 467: 0.7600152709058698, 233: 1, 205: 0.8953182924728837, 940: 1, 40: 0.9749528263271161, 813: 0.6672688510549554, 216: 1, 453: 0.8012175830969173, 56: 0.2861100356212014, 230: 0, 302: 0.9622925752508054, 384: 0.6553137292544515, 495: 0.2800911538202584, 503: 1, 590: 0.8612020406694749, 721: 1, 751: 0.5545289165671718, 959: 0}",35,single,m,straight,fit,,socially,,graduated from college/university,white,74.0,-1,computer / hardware / software,,,,no,english,Linear Classifiers/386.joblib
Viviene Love,"{37: 1, 698: 0, 492: 0.7477696985486588, 383: 1, 478: 1, 836: 1, 281: 0, 264: 1, 849: 1, 263: 0.24111441715815118, 26: 0.9872656281547663, 39: 0.03113600726314658, 59: 0.25091330369090237, 68: 0.07630183289305492, 107: 1, 313: 0.8751168033679999, 512: 1, 529: 1, 823: 1, 877: 0, 921: 0.47944383700225934, 967: 1}",30,single,m,straight,average,,often,never,graduated from masters program,,76.0,-1,computer / hardware / software,doesn't have kids,likes cats,agnosticism,no,"english (fluently), dutch (fluently), lisp (fluently), spanish (okay), german (okay)",Linear Classifiers/157.joblib
Ginnie Tound,"{197: 1, 779: 1, 916: 0.17375599143826292, 689: 0.07888728577416515, 135: 1, 403: 0, 49: 0, 57: 1, 196: 1, 229: 0, 247: 0.9218913916465787, 248: 0.14447870829143383, 271: 0, 301: 0, 364: 0.3718188199406782, 460: 0.7442552763959185, 524: 0, 546: 0, 625: 1, 657: 0, 788: 1, 925: 1}",35,single,m,straight,athletic,strictly anything,,,graduated from college/university,"black, white",72.0,-1,,"doesn't have kids, but wants them",,agnosticism,no,english,Linear Classifiers/784.joblib
Danny Edmund,"{737: 0, 542: 0.22396878775136164, 134: 0, 438: 0, 302: 0.6622331386307541, 491: 0.5584449163656284, 269: 1, 169: 0.7117143291838195, 824: 0, 400: 0, 261: 0.39081694937795275, 4: 0.7794001026255963, 323: 1, 720: 0.7800421798269781, 397: 0.4127354154475058, 677: 1, 628: 0.26962473834352174, 808: 1, 90: 0.07299058891458632, 172: 0.825063496704145, 193: 0.4395187856042755, 334: 1, 375: 1, 390: 0.9385495526135266, 393: 0.9719487522742227, 594: 0.3741472017927352, 694: 0.09558973513303126}",30,single,m,straight,average,strictly anything,often,sometimes,graduated from masters program,white,75.0,-1,artistic / musical / writer,,,other but not too serious about it,no,"english, indonesian (fluently)",Linear Classifiers/115.joblib
